gene,log2FC,meanA,meanB,pval,-log10p,qval,sig_type,score
BGENE_520,-0.48763904,0.31733295,0.4449483,0.0010554090958045138,2.9765791672740303,0.035180303193483795,ns,1.4514962068838515
BGENE_206,-0.50605613,0.23878455,0.3391133,0.003491468898846528,2.456991822195066,0.09743634136315893,ns,1.2433757728155994
BGENE_538,0.6006297,0.2105326,0.13883877,0.01431848368641678,1.8441029709589918,0.24200254117887515,ns,1.107622990813186
BGENE_1063,-0.6050435,0.08649857,0.13156697,0.021444584346808414,1.6686823671277253,0.31004218332735056,ns,1.0096253711690515
BGENE_891,0.45623007,0.36936143,0.269223,0.008229172815973495,2.0846438172194226,0.17954558871214898,ns,0.9510772033423196
BGENE_426,-0.34075108,0.50773317,0.64300156,0.005175961532388673,2.2860089599926425,0.12939903830971683,ns,0.7789600259050284
BGENE_1191,0.38343865,0.40824747,0.31296563,0.018841807573129008,1.7248774358648353,0.2862046719968963,ns,0.6613846698924225
BGENE_1012,0.3124609,0.7214138,0.58093053,0.007691124737306414,2.1140101450506226,0.17748749393784033,ns,0.6605455111639413
BGENE_50,0.26233676,0.9672262,0.8064115,0.0034061016604238032,2.4677423939828693,0.09731719029782294,ns,0.6473795460259986
BGENE_1029,0.2425954,1.1239245,0.9499671,0.00323258640200726,2.4904498582763397,0.09461228493679785,ns,0.604171690472901
BGENE_268,0.35476336,0.52591,0.4112603,0.023450217199138867,1.6298531304350112,0.3310618898701958,ns,0.5782121709550057
PRF1,0.30307126,0.62590766,0.50731367,0.013484090739928054,1.870178333597117,0.24150610280468154,ns,0.5667973048338051
BGENE_959,0.3336698,0.40807793,0.3238159,0.02769034408485317,1.557671647604928,0.3534937542747213,ns,0.5197480050152892
BGENE_978,0.39525026,0.29472864,0.22409889,0.049148613787104146,1.308488726725055,0.4502163095001907,ns,0.5171805105310952
BGENE_1076,-0.41616696,0.15176995,0.20251876,0.06751120543772005,1.1706241374522064,0.5031891088525718,ns,0.48717508998276066
BGENE_1154,-0.34721103,0.23271213,0.29603314,0.044918090515469536,1.3475787140361604,0.43469119853680194,ns,0.4678941974919483
BGENE_854,0.85074216,0.03132626,0.017369946,0.2971080100873803,0.5270856393782454,0.8084571703057968,ns,0.4484139760211136
BGENE_999,0.23906529,0.76046294,0.6443356,0.013825015454822067,1.8593343745303028,0.2370002649398069,ns,0.44450231051950845
BGENE_793,0.47292185,0.14875445,0.10717788,0.13631839553457317,0.8654455341866913,0.651721412914294,ns,0.4092881016280577
BGENE_920,-0.30418465,0.43103108,0.5322032,0.04781200937396872,1.3204630040204,0.44823758788095674,ns,0.401664570660716
BGENE_338,-0.36703718,0.1867606,0.24086572,0.08607031126682066,1.0651466264381015,0.5582939109199178,ns,0.3909484109503854
BGENE_1047,0.3677376,0.19933814,0.15448621,0.08797981761722898,1.0556169426536903,0.5676117265627676,ns,0.3881900317917146
BGENE_618,0.19145131,1.2605215,1.1038692,0.009853502180244986,2.006409382981948,0.20386556234989625,ns,0.38412970699820975
BGENE_271,0.25228718,0.7223352,0.60644674,0.03022776386738875,1.5195939790535282,0.362733166408665,ns,0.3833740785528041
BGENE_1090,0.30979827,0.3775287,0.3045728,0.06312072673421587,1.1998280095634832,0.48867659407134867,ns,0.3717046422169629
BGENE_328,0.32571843,0.32752687,0.2613338,0.08247171598091808,1.0836949690201036,0.5498114398727872,ns,0.35297942679603433
BGENE_329,-0.23773375,0.52044207,0.6136737,0.032975917849133056,1.4818031074945275,0.3841854506695113,ns,0.3522746117815108
BGENE_994,0.18846464,1.0399504,0.912597,0.01369883802256019,1.8633162694707592,0.23824066126191634,ns,0.3511692328593032
BGENE_36,0.2975252,0.3688569,0.3001191,0.06655542590081452,1.176816533085975,0.49916569425610896,ns,0.35013257115409824
BGENE_422,0.24513297,0.7204332,0.6078567,0.03780877380125413,1.422407407270746,0.4087435005540987,ns,0.34867894920723286
BGENE_34,-0.2561273,0.48565418,0.5800017,0.04487869709730138,1.3479597598549715,0.43784094729074513,ns,0.34524929094028933
BGENE_162,0.22129121,0.93562305,0.8025748,0.028980217397164335,1.5378983609616446,0.36606590396418104,ns,0.3403233956559557
BGENE_3,0.13487609,1.7258655,1.5718285,0.0031004064114309236,2.50858137369054,0.09301219234292771,ns,0.3383476403769322
BGENE_504,0.37927908,0.25140762,0.19328742,0.12995592790509938,0.8862039054838117,0.6497796395254969,ns,0.33611859935272625
BGENE_403,-0.38918433,0.14135565,0.18512712,0.1397477688296956,0.8546551171995828,0.660225679510373,ns,0.3326183756928988
BGENE_417,-0.16133271,1.2570173,1.4057473,0.0087670299336099,2.0571475106146586,0.18786492714878358,ns,0.33188518600219297
BGENE_480,0.3288698,0.34588176,0.275377,0.10097729836498354,0.9957762529797625,0.5853756426955568,ns,0.3274807270439132
BGENE_390,0.19794315,1.1845691,1.0326985,0.022294429340572127,1.6518036395921218,0.3184918477224589,ns,0.32696321724944494
BGENE_344,0.14959688,1.7903497,1.6140043,0.006712720414114589,2.173101440873452,0.16110528993875015,ns,0.32508920601051605
BGENE_213,0.12087999,1.9741979,1.8155247,0.002194614442169332,2.658641767151327,0.06930361396324207,ns,0.32137659778448724
BGENE_222,0.2295033,0.69501513,0.59279805,0.04412415293336272,1.3553236188255937,0.4340080616396333,ns,0.3110512481929043
BGENE_17,0.21390918,0.7812835,0.6736208,0.042882200651294014,1.3677229353910836,0.4288220065129401,ns,0.29256849017101455
KLRC1,0.27666685,0.25597432,0.21130562,0.0889790709807506,1.050712132978173,0.5590308124445064,ns,0.29069721593193526
BGENE_913,0.11359577,2.2251818,2.0566943,0.002875882757487163,2.5412288230229,0.08848870023037425,ns,0.288672841871686
BGENE_956,0.18242876,1.0748781,0.94720197,0.026223996447414487,1.5813011226077887,0.3496532859655265,ns,0.28847480664735314
BGENE_234,-0.21198986,0.7196058,0.83350855,0.046991093813122185,1.3279844457735064,0.44753422679163984,ns,0.28151924299251685
BGENE_1197,0.1917963,1.0186689,0.89185965,0.03545970962893702,1.4502648250539585,0.39399677365485575,ns,0.27815543151958155
BGENE_695,0.22000642,0.70224893,0.6029238,0.057528282800865575,1.240118589319517,0.4794023566738798,ns,0.27283405271017375
BGENE_1006,0.136652,2.00636,1.8250406,0.01135677568446639,1.9447449521818756,0.2129395440837448,ns,0.2657532731992158
BGENE_250,-0.3382592,0.14481445,0.18307906,0.16726300359311952,0.7766001087218286,0.6758101155277556,ns,0.26269212397942193
BGENE_872,-0.21055153,0.62265676,0.7204953,0.0574917121242303,1.2403947577128074,0.4824479339096249,ns,0.26116701419267796
BGENE_265,0.20029473,1.1831461,1.029778,0.05345271515617526,1.2720302296994412,0.4681989648716081,ns,0.25478095528598105
BGENE_445,0.28915915,0.24078935,0.19705674,0.14290896692468105,0.8449405202382027,0.6672792229946197,ns,0.24432228172982032
BGENE_908,0.12038202,2.0239034,1.8618778,0.00947629176858413,2.023361576111435,0.19950087933861327,ns,0.2435763504596388
BGENE_408,0.27081,0.29686213,0.24605522,0.12617133965639185,0.8990392856835534,0.6554355306825551,ns,0.24346883619234042
BGENE_16,0.14019227,1.6022074,1.4538401,0.018496301662981197,1.732915100133496,0.28455848712278764,ns,0.24294130208835527
BGENE_662,0.09934829,2.2372746,2.0883942,0.003616332403995285,2.441731657127522,0.0986272473816896,ns,0.24258186905904733
BGENE_1160,0.20277534,0.77893525,0.6767992,0.06474157637005093,1.188816730319917,0.4948400741659944,ns,0.24106272174385532
BGENE_933,0.15765934,1.2989442,1.1644753,0.03018396734540559,1.5202236776492897,0.3658662708534011,ns,0.2396774569951923
BGENE_1195,0.13577597,1.5132196,1.3773023,0.017922559652398112,1.7465999654591968,0.2793126179594511,ns,0.23714630177426504
BGENE_1135,0.19264574,0.8509368,0.7445692,0.06199674758869924,1.2076310934264372,0.4926893848108549,ns,0.23264498985389057
BGENE_11,-0.2236733,0.4845876,0.56585455,0.09861588523530816,1.0060531224384375,0.5800934425606362,ns,0.2250272208197473
BGENE_879,0.22004747,0.5342472,0.45867097,0.09678594150371936,1.014187720901954,0.5807156490223161,ns,0.22316944605244993
BGENE_990,0.16890666,0.9455151,0.8410512,0.050750623005558396,1.29455862206075,0.45790035794488776,ns,0.21865957158675725
BGENE_1034,-0.2732373,0.15206899,0.1837781,0.16951415469048092,0.7707940316950752,0.6780566187619237,ns,0.21060967082556056
BGENE_1017,0.2350042,0.4787938,0.4068226,0.12992255113317322,0.886315460299775,0.6523308006686521,ns,0.20828785705269295
BGENE_979,0.21860847,0.5855025,0.50317717,0.11150102802224225,0.9527211284693728,0.6223313191939103,ns,0.2082729070604505
BGENE_653,0.1641822,0.9565748,0.85368,0.0598912083645443,1.222636924505378,0.4856043921449538,ns,0.20073522132323893
BGENE_602,-0.23880722,0.47591308,0.56158555,0.1444418135045303,0.8403070675308233,0.6666545238670629,ns,0.20067139162304168
BGENE_134,0.1420268,1.0740888,0.9733876,0.04249950063529234,1.3716161728346554,0.4321983115453458,ns,0.19480625165467738
BGENE_1168,-0.17195758,0.83416206,0.9397555,0.07788607427361388,1.1085401855464498,0.5340759378762094,ns,0.19062189011727862
BGENE_729,0.29420242,0.21363845,0.1742269,0.2254599033084198,0.6469306835876681,0.7557315194695635,ns,0.19032857083044422
BGENE_209,0.13776635,1.2049773,1.0952343,0.04156771338925146,1.381243865071454,0.43001082816467023,ns,0.19028892068909573
BGENE_495,0.21622172,0.45575395,0.39232054,0.1325326422782696,0.8776771434977819,0.6491394723833613,ns,0.1897728615544342
BGENE_694,0.12073021,1.2276214,1.1290704,0.027030318350566723,1.5681488393519492,0.3487783012976351,ns,0.18932293299439146
BGENE_373,0.08785386,2.655179,2.4983146,0.007219000700065639,2.141522916070767,0.16985884000154444,ns,0.18814104671314114
BGENE_632,0.09867661,2.2030647,2.0574183,0.012618904087401978,1.8989783605800548,0.22943461977094506,ns,0.1873847414126719
BGENE_551,0.13039853,2.0381887,1.8620465,0.036699442611545195,1.4353405317307026,0.4003575557623112,ns,0.18716629077644065
BGENE_1020,0.11575808,1.3919445,1.2846217,0.02517945968224348,1.5989535935108339,0.3433562683942293,ns,0.1850917920940281
BGENE_58,0.16497381,0.91948473,0.82012945,0.07653866558209937,1.1161191137783955,0.527852866083444,ns,0.1841304229655704
BGENE_30,0.12771998,1.6829635,1.5403774,0.03883630327345605,1.4107621161571036,0.41242091971811734,ns,0.1801825141394905
BGENE_366,0.18411458,0.6533448,0.57506686,0.10565400725160132,0.9761140263518097,0.6037371842948647,ns,0.1797168194901285
BGENE_159,0.15891519,1.0363601,0.9282659,0.07492427297615056,1.125377462516157,0.5227274858801202,ns,0.17883957540309628
BGENE_32,-0.21094482,0.4008691,0.46398446,0.14213955625488062,0.8472850447143141,0.6688920294347324,ns,0.17873038825516058
BGENE_677,0.13610059,1.6012058,1.4570578,0.048853982347393146,1.3111000288540082,0.4509598370528598,ns,0.1784414877763346
BGENE_970,0.15100616,1.1794821,1.0622675,0.06764222386405223,1.1697821225998757,0.5010535101040906,ns,0.17664430890490107
BGENE_811,0.16694885,1.0524082,0.93740565,0.0887732518782104,1.0517178710637667,0.563639694464828,ns,0.17558309427641233
CEACAM3,0.22180171,0.4209276,0.36094272,0.16362217908956267,0.7861578277835711,0.6770572927843973,ns,0.1743711529764592
BGENE_1148,0.17298625,0.8395099,0.7446492,0.09860711443023926,1.0060917499033095,0.5828991986023996,ns,0.17404004309269455
BGENE_930,0.16619696,0.969643,0.8641349,0.09278516599320778,1.032521450960553,0.5739288618136564,ns,0.17160192342493497
BGENE_264,0.15541229,1.1660131,1.0469348,0.08020975469780266,1.0957728118428613,0.5407399193110292,ns,0.1702965581949535
BGENE_351,0.08976161,2.5584166,2.4040878,0.013525928808717582,1.8688329027351978,0.23869286133031029,ns,0.1677494452160572
BGENE_857,0.08554686,1.8367306,1.7309849,0.010995703346382519,1.9587769855225503,0.20944196850252417,ns,0.16756721782651765
ITGAX,0.085075125,2.1137464,1.9927036,0.010820415201505949,1.9657560741404245,0.21286062691487112,ns,0.16723694392009905
BGENE_572,0.11877382,1.8208201,1.6769207,0.03932274317575144,1.4053561931660388,0.4139236123763309,ns,0.16691952073483507
BGENE_646,0.0798189,2.6882465,2.5435555,0.008106320581230017,2.091176225180292,0.18014045736066706,ns,0.16691537962047356
BGENE_100,0.19166681,0.58441925,0.51171356,0.13682760850423112,0.8638262636444741,0.6515600404963388,ns,0.16556682581946436
BGENE_765,0.18794462,0.5745462,0.5043684,0.13191821131856818,0.8796952459304124,0.6514479571287317,ns,0.16533398945791733
BGENE_168,0.18014985,0.82403386,0.7273015,0.12139844865768973,0.915786863044202,0.6445935326956977,ns,0.164978868966938
BGENE_397,0.1326938,1.0122533,0.9233031,0.06094949027471297,1.215029922068653,0.48759592219770376,ns,0.16122693425307882
BGENE_907,-0.14846635,0.8803981,0.9758251,0.08263284092893677,1.0828473158802328,0.5478420393078681,ns,0.1607663871321028
BGENE_230,0.08062254,2.0934844,1.9797024,0.010929087923492498,1.961416080165787,0.2115307340030806,ns,0.15813434426975173
BGENE_835,0.14784881,1.2862856,1.1609952,0.08570398200611526,1.06699899927742,0.5589390130833604,ns,0.1577545373568622
BGENE_549,0.13157251,0.9784203,0.8931371,0.06445421134869306,1.1907487011849547,0.49580162575917736,ns,0.15666980107689163
BGENE_63,0.16409993,0.8365505,0.74660873,0.11515913871460401,0.9387015919086968,0.6310089792581042,ns,0.15404086713478027
BGENE_842,0.14098434,1.1998858,1.0881766,0.08166416405544542,1.0879684791742796,0.5474692562376229,ns,0.15338651961152452
BGENE_1110,0.1691739,0.6931147,0.6164227,0.12413354005289978,0.9061108591792167,0.6504814325916146,ns,0.15329030453860867
BGENE_52,0.12256641,1.2010853,1.1032594,0.056525909322171386,1.2477524425089213,0.4776837407507441,ns,0.1529325367096858
BGENE_233,0.19293389,0.40565938,0.35488078,0.16146167668175382,0.7919305419439386,0.6798386386600161,ns,0.15279023788391424
BGENE_1042,0.14883263,1.3257802,1.1958271,0.09444917289467206,1.024801840906284,0.5753249110335353,ns,0.15252395740377478
CD160,0.15110885,1.0078561,0.90763277,0.09819052407273943,1.0079304220041954,0.5833100439964718,ns,0.15230720298627154
BGENE_364,0.11917735,1.2621983,1.1621218,0.05414504834539255,1.2664412541744248,0.47082650735123954,ns,0.1509311112249952
BGENE_48,0.09739933,1.5966265,1.492393,0.028986888134352483,1.5377984055011378,0.36233610167940605,ns,0.1497805368763776
BATF3,0.13080038,1.1343254,1.0360072,0.07315768677559004,1.1357400352415392,0.5194628646787458,ns,0.14855522967048695
BGENE_608,0.11603264,1.2000376,1.1073005,0.05313850226165165,1.2745906905856343,0.4688691376028086,ns,0.14789411976009598
BGENE_786,0.07430531,2.4286604,2.30674,0.010329996032836995,1.9858998452681174,0.21010161422719312,ns,0.1475629053104297
BGENE_825,-0.16246186,0.8861614,0.9917878,0.12561571868628682,0.9009560125766389,0.6553863583632357,ns,0.14637099135450204
BGENE_64,0.20712994,0.46075258,0.39913085,0.19731748708297814,0.7048344240883954,0.7089251032921371,ns,0.14599231224666295
BGENE_492,0.17495616,0.66057086,0.58512986,0.14722714614445756,0.8320121062091639,0.6567753731351267,ns,0.14556564134838237
BGENE_401,-0.24177922,0.19305708,0.22828053,0.2517405108752775,0.599046890792911,0.7805907313962093,ns,0.14483709184706522
BGENE_987,0.08669555,1.7794026,1.6756228,0.02134857379647288,1.6706311329579675,0.3124181531191153,ns,0.14483628804675897
BGENE_912,-0.15718643,0.806594,0.8994414,0.11988981839858535,0.9212176976439911,0.6451470048354369,ns,0.14480292452902344
BGENE_333,0.20743889,0.36555055,0.31659344,0.2079879938735807,0.68196173400332,0.7276547890620899,ns,0.14146538250922278
BGENE_888,0.07982378,2.1970615,2.0788007,0.017019715300893752,1.7690477088980212,0.27231544481430003,ns,0.1412120699582213
BGENE_659,0.059631456,3.4220932,3.2835298,0.00466118629229308,2.3315035393977905,0.11900901171812119,ns,0.13903094999990498
BGENE_955,0.19550994,0.41389397,0.36143863,0.19532519417191685,0.7092417352879363,0.708127592164049,ns,0.1386638093852789
BGENE_1002,0.1087374,1.8934189,1.7559555,0.05431144162787364,1.2651086692618558,0.46887575506077955,ns,0.13756462951846016
BGENE_38,-0.1473,0.982087,1.0876565,0.11841090231743576,0.9266083094515801,0.6458776490041951,ns,0.136489408577367
BGENE_1194,0.064539015,2.2462785,2.1480057,0.007883963367693203,2.1032554023080765,0.17850483096663855,ns,0.13574203257490103
BGENE_354,0.08311976,1.7006164,1.6054057,0.02393168131945358,1.6210267889707353,0.33393043701563135,ns,0.13473935355724337
BGENE_1004,0.07378626,2.8038812,2.6640828,0.015738942304921757,1.8030244566383535,0.25522609143116365,ns,0.13303842899545454
GNLY,0.22431675,0.32776773,0.28056914,0.25734922436977514,0.5894771363410869,0.7838047442734268,ns,0.1322295930633532
BGENE_1,0.19620168,0.4102074,0.35804757,0.21801503032260217,0.6615135643717677,0.7411275818332084,ns,0.1297900740555946
BGENE_716,0.16179095,0.8099502,0.72402626,0.15870209243079592,0.7994173471887072,0.6729417346888872,ns,0.12933849371608402
BGENE_247,0.106832236,1.345797,1.2497404,0.06244776901724726,1.2044830724348552,0.4930087027677415,ns,0.12867761991446802
BGENE_829,0.12536491,1.1673924,1.0702327,0.09526576213049402,1.0210631538154467,0.574466907319562,ns,0.12800549501441827
BGENE_154,-0.18410146,0.36939085,0.41966847,0.20381133911175442,0.6907716575392411,0.721456067652228,ns,0.1271720723127144
BGENE_938,0.10120981,1.838167,1.7136328,0.05587148834132458,1.2528097594646959,0.4788984714970678,ns,0.12679664005966565
BGENE_1134,0.081822455,1.9077579,1.8025705,0.029562931293318516,1.5292525059539022,0.36199507706104306,ns,0.12512719424401147
BGENE_497,0.05162202,3.4678335,3.3459425,0.003841499198783421,2.4154992530561246,0.10243997863422456,ns,0.1246929464469264
BGENE_499,0.20213115,0.37534395,0.3262734,0.24465378103990087,0.6114480679805775,0.7725908874944237,ns,0.12359270246264925
BGENE_740,-0.15399243,0.49811167,0.5542212,0.15783473001759163,0.8017974282784744,0.6740273168011031,ns,0.12347073384774956
BGENE_87,-0.14322144,0.8269127,0.9132163,0.1455812777062022,0.8368944733176262,0.6567576437873783,ns,0.11986122986510822
BGENE_817,0.06792732,1.9089066,1.8211113,0.017781608477687512,1.7500289564485745,0.28076223912138176,ns,0.11887478267713213
BGENE_684,0.17894289,0.40681514,0.35936004,0.2175890761122884,0.6623629118380172,0.7417809412918923,ns,0.11852513299428304
BGENE_111,0.1667932,0.5861082,0.52211714,0.19502291473901123,0.709914357047582,0.7091742354145864,ns,0.11840888548745832
BGENE_722,0.09982068,1.6058185,1.4984678,0.06887214061959741,1.161956418469138,0.5008882954152539,ns,0.11598728088666545
BGENE_559,0.08426682,1.9993867,1.885949,0.042217274116083815,1.3745098116385293,0.43299768324188526,ns,0.11582556959333078
BGENE_163,0.12555048,1.2023793,1.102166,0.11953857766111052,0.9224919159576328,0.6461544738438406,ns,0.11581930164243032
BGENE_1045,0.048637368,3.3181372,3.2081378,0.004336858994408253,2.3628246979678917,0.11313545202804137,ns,0.11492157384649145
BGENE_1080,-0.19859613,0.23309824,0.26749927,0.2642744496446777,0.5779448229247222,0.7849736128059734,ns,0.11477760795002331
BGENE_859,-0.14738058,0.619657,0.68630534,0.16654268825475138,0.7784744294412502,0.6797660745091892,ns,0.11473200945241975
BGENE_144,0.14418429,0.8059808,0.7293246,0.16281852324428248,0.7882961886042933,0.6807743132165122,ns,0.11365992733787657
BGENE_251,0.14908004,0.7421612,0.6692997,0.17668501549533444,0.7528002810740974,0.6883831772545498,ns,0.11222749456214406
BGENE_463,0.19228876,0.3941837,0.3449958,0.261268547383517,0.5829128693387027,0.783805642150551,ns,0.1120875907175248
BGENE_676,-0.061624467,2.7923868,2.9142473,0.015724606367038655,1.803420217409734,0.25848668000611486,ns,0.11113481034738408
BGENE_988,-0.12387992,1.2149444,1.323878,0.12798587741432121,0.8928379498787764,0.65077564786943,ns,0.11060469109504208
BGENE_589,0.14774108,0.91624093,0.82705647,0.1789340372630197,0.7473070390331469,0.6860090885483184,ns,0.11040794853799561
CSF3R,0.15043171,0.757202,0.6822244,0.1850789585140823,0.7326429530497053,0.6984111642040841,ns,0.11021273041614357
BGENE_826,-0.15295136,0.55502367,0.61709857,0.19144688923326547,0.717951685988026,0.7090625527157981,ns,0.10981168660584101
BGENE_527,-0.1118702,1.3933437,1.5056865,0.10593511659508845,0.9749600510784319,0.6024745967493182,ns,0.10906897536203873
BGENE_759,0.0813191,1.5357859,1.4516141,0.04578595188229198,1.3392677524736043,0.439545138070003,ns,0.10890804983676834
BGENE_998,-0.12152983,1.3258734,1.4424016,0.12985414725264416,0.8865441754133763,0.6547267928704747,ns,0.10774156512618005
BGENE_292,0.09342111,1.9241253,1.8034778,0.07052243125849317,1.1516727238266762,0.5098007078927217,ns,0.10759054308878994
BGENE_919,-0.17050758,0.4790199,0.5391152,0.23434960157851537,0.6301357804940989,0.7662657272322028,ns,0.10744292702985349
BGENE_395,0.07232907,2.619639,2.491542,0.03323185878128905,1.4784453663385024,0.38344452439948906,ns,0.10693457350501169
BGENE_818,-0.14447916,0.695696,0.76897484,0.18195709076954036,0.7400310155266044,0.693169869598249,ns,0.10691905619703752
BGENE_1158,0.11125716,1.6172698,1.4972374,0.10997337746230076,0.9587124368470546,0.6166731446484155,ns,0.10666362127359648
BGENE_190,0.12737158,0.81970304,0.7504363,0.1454847172682096,0.8371826256105965,0.6587987197051002,ns,0.10663327327749854
BGENE_599,0.14716642,0.6328021,0.5714344,0.19142091772717906,0.7180106059681981,0.7111613042495817,ns,0.10566704756551303
BGENE_671,-0.13739632,1.2606221,1.3865814,0.17266393122861445,0.7627983752547112,0.6815681495866359,ns,0.10480569019642759
BGENE_9,0.18435584,0.5578114,0.49089727,0.27011197987045776,0.5684561537753177,0.7886481164100957,ns,0.10479821178183771
BGENE_202,0.1366864,0.9725719,0.88465714,0.1773812499201186,0.7510922891637813,0.6866370964649753,ns,0.1026641007573826
SERPINA1,0.10328204,1.3919432,1.2957777,0.10213788906786574,0.9908131221575018,0.58925705231461,ns,0.10233320234592719
BGENE_699,-0.21078786,0.20520884,0.23749246,0.3273007542233145,0.4850529939139749,0.830361321496781,ns,0.10224328380541067
BGENE_205,0.04500904,3.3492146,3.2463393,0.005354488861543863,2.2712819805195124,0.1311303394663803,ns,0.10222822001889467
BGENE_814,0.17154013,0.4514721,0.4008594,0.2579674115624242,0.588435154007825,0.7836984655060988,ns,0.10094024058166119
BGENE_73,0.12669739,1.0887914,0.997252,0.16100822417120408,0.7931519399870912,0.6803164401600172,ns,0.1004902816783661
BGENE_1054,0.051935606,2.4516256,2.364939,0.012176100068182044,1.9144917913487411,0.2247895397202839,ns,0.09943029080053457
BGENE_59,0.117878474,1.1921346,1.0986018,0.15175714214287137,0.8188508605805662,0.6719873452820871,ns,0.09652489012049897
BGENE_640,0.10841231,1.4002478,1.2988814,0.1341666889555554,0.8723552978671497,0.6518219706342772,ns,0.09457405340218102
BGENE_124,0.13971917,0.67668974,0.61422837,0.21604204445416486,0.6654617215456251,0.738605280185179,ns,0.09297776160525965
