,n_counts,n_genes,pct_counts_mito,cell_type
cell_00045,12794,993,7.549139725115774,T cells
cell_00046,18147,1076,11.668998163112688,T cells
cell_00047,10509,941,13.909274331543934,T cells
cell_00048,9649,911,6.026720064974326,T cells
cell_00049,11620,979,8.53568514191592,T cells
cell_00050,10114,953,12.788767141878402,T cells
cell_00051,15957,1016,42.89169930940435,T cells
cell_00052,11919,977,38.43416430780925,T cells
cell_00053,16292,1037,10.670100100589375,T cells
cell_00054,15100,1055,38.64550433553536,T cells
cell_00055,14068,1005,8.237453727314062,T cells
cell_00056,20750,1096,6.639771455608695,T cells
cell_00057,11743,964,8.887481157945738,T cells
cell_00058,12260,985,10.881867055242358,T cells
cell_00059,9406,924,5.419974615187567,T cells
cell_00060,10281,948,16.048324651223837,T cells
cell_00061,17354,1040,4.40684579134235,T cells
cell_00062,16242,1052,4.824428396239943,T cells
cell_00063,9461,943,34.695335387640604,T cells
cell_00064,17476,1034,7.8939532784934725,T cells
cell_00065,19310,1083,8.977531459437884,T cells
cell_00066,11321,964,8.905292547994428,T cells
cell_00067,15252,1047,9.276893425113867,T cells
cell_00068,18648,1091,45.885723549903545,T cells
cell_00069,16388,1036,14.25983676937659,T cells
cell_00070,12678,1000,8.13049337873757,T cells
cell_00071,14318,1017,8.89174419275471,T cells
cell_00072,17190,1051,6.315184146751728,T cells
cell_00073,11851,1006,28.983069938261618,T cells
cell_00074,17273,1061,13.013999208271127,T cells
cell_00075,17150,1066,12.778439174802934,T cells
cell_00076,14917,1049,11.792542341913721,T cells
cell_00077,16542,1043,9.289994916860103,T cells
cell_00078,11301,998,8.813892338231364,T cells
cell_00079,19594,1077,11.885930349229314,T cells
cell_00080,18771,1066,7.947501409185438,T cells
cell_00081,14011,995,10.777660977213674,T cells
cell_00082,8519,908,9.745278026755969,T cells
cell_00083,19897,1090,9.543643827829412,T cells
cell_00084,11645,970,12.267519805404275,T cells
cell_00085,16459,1024,6.0830110296204225,T cells
cell_00086,11800,995,10.006908299260822,T cells
cell_00087,20934,1066,13.796695697862098,T cells
cell_00088,10189,948,27.606782197268554,T cells
cell_00089,16926,1029,9.850654050556654,T cells
cell_00090,10216,959,30.2249011165721,T cells
cell_00091,15176,1027,8.164352290866706,T cells
cell_00092,16408,1052,5.5537517165881525,T cells
cell_00093,16671,1020,6.372150962782655,T cells
cell_00094,11438,978,10.911997079653252,T cells
cell_00095,17747,1062,18.653902807161124,T cells
cell_00096,16325,1037,6.646827179724984,T cells
cell_00097,12673,1006,58.599478032159084,T cells
cell_00098,20348,1094,10.168071054266195,T cells
cell_00099,13825,997,9.887676783159753,T cells
cell_00100,20182,1079,10.610522267320075,T cells
cell_00101,20315,1074,10.0282572883257,T cells
cell_00102,13663,1002,7.438419128525703,T cells
cell_00103,13907,1028,9.014525080555478,T cells
cell_00104,13346,1004,10.501905518240319,T cells
cell_00105,17844,1061,13.642002642100831,T cells
cell_00106,15620,1043,8.628458415256288,T cells
cell_00107,17743,1044,40.694850666345125,T cells
cell_00108,10617,956,13.456126873036677,T cells
cell_00109,16072,1026,6.802138180827816,T cells
cell_00110,11375,965,39.115677536073605,T cells
cell_00111,18080,1071,7.695290352650636,T cells
cell_00112,13918,1016,10.370511386448056,T cells
cell_00113,15351,1054,9.941925564544121,T cells
cell_00114,11701,986,6.702449668963369,T cells
cell_00115,15059,1061,7.862406318063087,T cells
cell_00116,9639,909,9.342896107531008,T cells
cell_00117,19695,1098,6.5986522199162305,T cells
cell_00118,12709,972,7.122874473869503,T cells
cell_00119,18647,1056,10.243119402284435,T cells
cell_00120,11182,972,9.027297709324714,T cells
cell_00121,18916,1073,8.703893017199812,T cells
cell_00122,20145,1067,9.274633555200076,T cells
cell_00123,10124,917,8.209780268589725,T cells
cell_00124,9207,934,8.986985544070057,T cells
cell_00125,13890,1026,51.89597530088129,T cells
cell_00126,16538,1037,6.990320867010269,T cells
cell_00127,12970,1023,13.639124459614077,T cells
cell_00128,9552,947,65.53929323287953,T cells
cell_00129,20207,1077,5.637206749779594,T cells
cell_00130,14293,1036,9.921567842287939,T cells
cell_00131,11901,981,12.892503273430037,T cells
cell_00132,17947,1064,10.147289089569473,T cells
cell_00133,9506,923,12.118792709616995,T cells
cell_00134,12785,986,8.70587138333895,T cells
cell_00135,13880,1022,6.113547778748956,T cells
cell_00136,11787,955,5.41498941649418,T cells
cell_00137,17422,1072,9.943448343172566,T cells
cell_00138,14786,1031,8.553698970705028,T cells
cell_00139,19223,1060,9.488426099682162,T cells
cell_00140,10664,980,26.417835211051404,T cells
cell_00141,19083,1065,6.746808185570122,T cells
cell_00142,14346,1014,8.744610019731821,T cells
cell_00143,16122,1061,11.442134818336193,T cells
cell_00144,18775,1082,12.8721577976105,T cells
cell_00145,11244,952,9.343754571675774,T cells
cell_00146,18430,1073,12.703012689700339,T cells
cell_00147,12038,976,7.4971464671839545,T cells
cell_00148,9564,928,30.988224542402964,T cells
cell_00149,16645,1058,5.145021182491253,T cells
cell_00150,11563,963,52.95249463167321,T cells
cell_00151,20932,1085,7.5147027051327555,T cells
cell_00152,18736,1045,40.96092967003733,T cells
cell_00153,13654,1003,6.779874914511192,T cells
cell_00154,19032,1082,6.309091401064565,T cells
cell_00155,12160,990,6.651286009803408,T cells
cell_00156,17142,1034,11.740483958528399,T cells
cell_00157,10870,973,23.36361726698846,T cells
cell_00158,18460,1084,10.76146206118839,T cells
cell_00159,11721,994,5.504944972818127,T cells
cell_00160,17914,1044,8.419085951744677,T cells
cell_00161,11596,970,7.853356371283027,T cells
cell_00162,10750,943,68.50698733236342,T cells
cell_00163,18590,1064,7.508937380562408,T cells
cell_00164,20257,1083,6.099525201698243,T cells
cell_00165,18057,1068,10.894742297384168,T cells
cell_00166,15912,1053,11.861004448752603,T cells
cell_00167,9230,927,15.240431177216301,T cells
cell_00168,11993,987,7.040708398050155,T cells
cell_00169,16632,1045,6.003512991032115,T cells
cell_00170,9606,947,12.10820282836754,T cells
cell_00171,16939,1049,8.036802179912051,T cells
cell_00172,13297,995,8.824338780624334,T cells
cell_00173,12784,1003,12.81847553020119,T cells
cell_00174,18511,1078,11.67022982276672,T cells
cell_00175,14797,1031,8.505897205380586,T cells
cell_00176,16596,1055,10.468394499043832,T cells
cell_00177,11714,989,6.013368455989123,T cells
cell_00178,14644,1015,5.868526995587859,T cells
cell_00179,14348,1005,7.166005448837224,T cells
cell_00180,9165,924,10.511401858795367,T cells
cell_00181,12549,981,10.896439818375953,T cells
cell_00182,15613,1032,44.19382751486935,T cells
cell_00183,10816,974,5.094716795999579,T cells
cell_00184,12475,975,11.521232070918941,T cells
cell_00185,15182,1029,9.296307180484273,T cells
cell_00186,13280,1019,8.632325461063703,T cells
cell_00187,16673,1045,5.020872024410146,T cells
cell_00188,10354,974,6.628806885483607,T cells
cell_00189,13890,1024,14.06979711311879,T cells
cell_00190,17935,1075,10.54612743817477,T cells
cell_00191,12867,1005,15.105465368626314,T cells
cell_00192,10652,976,34.94535562022992,T cells
cell_00193,14158,1002,10.266995173868066,T cells
cell_00194,8762,917,11.218730360582029,T cells
cell_00195,9152,953,40.51191044092113,T cells
cell_00196,17246,1052,37.821008582933885,T cells
cell_00197,15734,1043,9.191854952699588,T cells
cell_00198,9470,917,13.370640210977298,T cells
cell_00199,12068,990,10.753145276811562,T cells
cell_00200,11029,984,25.768274755025146,T cells
cell_00201,11248,976,4.8051087887432535,T cells
cell_00202,17161,1052,12.99480840733305,T cells
cell_00203,14645,1019,8.197171017389298,T cells
cell_00204,16242,1029,9.092944768504477,T cells
cell_00205,13728,1016,8.195869426155115,T cells
cell_00206,17042,1040,8.00621161219892,T cells
cell_00207,16835,1052,10.36183036280353,T cells
cell_00208,9340,914,26.032508791619215,T cells
cell_00209,10280,942,7.645903843788523,T cells
cell_00210,9928,947,11.81463995079069,T cells
cell_00211,12943,1017,7.628784287316201,T cells
cell_00212,15206,1039,43.639548812794395,T cells
cell_00213,19020,1089,13.054859284981188,T cells
cell_00214,12104,993,17.837065315646957,T cells
cell_00215,18057,1065,7.173405193095955,T cells
cell_00216,16533,1050,9.185842977212882,T cells
cell_00217,17807,1063,6.852763043672177,T cells
cell_00218,10716,962,9.139879825486014,T cells
cell_00219,12414,967,7.340673230301784,T cells
cell_00220,17856,1087,14.323103460407754,T cells
cell_00221,15319,1038,9.088073335770074,T cells
cell_00222,9297,916,11.308676972395055,T cells
cell_00223,10852,962,5.644005085392332,T cells
cell_00224,17899,1055,4.6989777596218,T cells
cell_00225,16499,1033,8.413264681537301,T cells
cell_00226,15780,1031,6.9603526880033115,T cells
cell_00227,13834,1002,10.138891003151732,T cells
cell_00228,10256,951,7.809439115989636,T cells
cell_00229,13065,1012,43.753123957329635,T cells
cell_00230,16483,1056,8.982661816286305,T cells
cell_00231,11981,1010,10.419322160983548,T cells
cell_00232,20242,1083,8.094035727957682,T cells
cell_00233,15456,1009,8.80736090977636,T cells
cell_00234,10701,953,23.494892312283554,T cells
cell_00235,18061,1070,11.33600377579442,T cells
cell_00236,14086,1035,5.748047704100752,T cells
cell_00237,12972,993,48.052640975743785,T cells
cell_00238,17967,1063,9.211839115113037,T cells
cell_00239,17579,1087,12.964321487788737,T cells
cell_00240,9070,941,71.97713173186344,T cells
cell_00241,11470,985,64.04878943563924,T cells
cell_00242,17596,1068,14.846663996370879,T cells
cell_00243,10971,980,9.24229382606537,T cells
cell_00244,13671,1004,11.71112108051587,T cells
cell_00245,16471,1033,11.101522920205124,T cells
cell_00246,9959,957,14.357189723741708,T cells
cell_00247,20769,1064,9.76700373065812,T cells
cell_00248,10343,944,12.286998563835597,T cells
cell_00249,11738,1002,7.325303607561306,T cells
cell_00250,14525,1013,13.57986925547092,T cells
cell_00251,11557,962,10.646219905775476,T cells
cell_00252,19643,1083,9.410282125139037,T cells
cell_00253,11476,990,8.163449555476038,T cells
cell_00254,15547,1045,13.025542814554472,T cells
cell_00255,11882,965,9.20443612203818,T cells
cell_00256,10844,980,9.576823288198048,T cells
cell_00257,16527,1040,9.231049211221373,T cells
cell_00258,12911,981,4.748014216204324,T cells
cell_00259,9375,918,12.772709065799399,T cells
cell_00260,9247,945,6.789375260077557,T cells
cell_00261,10229,954,12.613745146051064,T cells
cell_00262,16946,1033,11.966138919637226,T cells
cell_00263,9138,940,36.41276725756718,T cells
cell_00264,13055,967,6.196421649205634,T cells
cell_00265,19659,1068,5.919281227526003,T cells
cell_00266,10500,947,27.852304191754822,T cells
cell_00267,14099,1020,8.738113012210254,T cells
cell_00268,16915,1034,5.55535525558782,T cells
cell_00269,12208,997,8.812787407527306,T cells
cell_00270,15399,1028,5.876953568316782,T cells
cell_00271,15655,1041,7.373156272272905,T cells
cell_00272,14763,1027,9.863109572495484,T cells
cell_00273,10329,949,5.54008299151114,T cells
cell_00274,9824,957,6.828251700299487,T cells
cell_00275,9928,953,7.554834708029154,T cells
cell_00276,13086,965,8.554948919363792,T cells
cell_00277,13464,1020,9.717790298953833,T cells
cell_00278,17985,1034,12.03082114719828,T cells
cell_00279,18886,1047,11.477437999873558,T cells
cell_00280,14540,1023,8.317371658718892,T cells
cell_00281,12364,991,9.490511144261923,T cells
cell_00282,15509,1004,9.309404610766729,T cells
cell_00283,21152,1091,8.468600847543485,T cells
cell_00284,10263,928,4.999936447845253,T cells
cell_00285,16067,1024,10.401296510836765,T cells
cell_00286,15728,1023,9.061750073479299,T cells
cell_00287,13880,1043,4.818137117235163,T cells
cell_00288,10036,956,27.627568842729023,T cells
cell_00289,16169,1048,10.063097249640615,T cells
cell_00290,16896,1047,7.567254253223828,T cells
cell_00291,20561,1086,57.86065389081585,T cells
cell_00292,12386,993,10.349745906033023,T cells
cell_00293,12254,997,5.6543785500705255,T cells
cell_00294,14761,1033,11.100119649380717,T cells
cell_00295,8545,904,8.696357967977827,T cells
cell_00296,15241,1030,8.784118779742101,T cells
cell_00297,13245,996,10.118180937971989,T cells
cell_00298,19096,1079,46.53894146406388,T cells
cell_00299,18698,1052,7.511059248279403,T cells
cell_00300,18774,1062,8.293549259197382,B cells
cell_00301,14876,1020,8.113764352159993,B cells
cell_00302,19820,1063,7.974736604258995,B cells
cell_00303,11008,965,37.688582521873485,B cells
cell_00304,14238,1008,10.437374558753424,B cells
cell_00305,10412,953,9.140648744229699,B cells
cell_00306,12755,1013,4.170822586393291,B cells
cell_00307,20732,1096,10.910627115291218,B cells
cell_00308,18494,1054,11.174726349223386,B cells
cell_00309,12865,1006,12.278701970482848,B cells
cell_00310,12731,968,10.375524225084835,B cells
cell_00311,14132,999,8.369100961048536,B cells
cell_00312,21695,1092,7.296839525051261,B cells
cell_00313,13422,992,12.205285220308216,B cells
cell_00314,16242,1018,4.858786138483843,B cells
cell_00315,13221,1018,10.67664679160893,B cells
cell_00316,19493,1079,40.7538223818985,B cells
cell_00317,17437,1068,9.856326598160562,B cells
cell_00318,11721,970,32.70342845264791,B cells
cell_00319,12488,980,8.527167542719189,B cells
cell_00320,13499,996,9.844504847631168,B cells
cell_00321,16284,1016,13.348960455147271,B cells
cell_00322,16889,1018,4.425564958452257,B cells
cell_00323,17613,1060,9.612922440195728,B cells
cell_00324,10824,975,26.034285792199363,B cells
cell_00325,10236,935,4.454208847121472,B cells
cell_00326,15626,1019,8.665112447315318,B cells
cell_00327,11313,973,4.541237829291126,B cells
cell_00328,9650,934,3.984493184804836,B cells
cell_00329,17437,1032,7.300328979309084,B cells
cell_00330,8484,913,22.883153783914896,B cells
cell_00331,10386,935,37.085157165458185,B cells
cell_00332,14649,1011,9.876382218023485,B cells
cell_00333,13263,976,14.346791986154294,B cells
cell_00334,12532,985,12.67115558003562,B cells
cell_00335,11053,970,19.118740102274202,B cells
cell_00336,12692,981,10.91785296339563,B cells
cell_00337,19544,1043,10.838291358915432,B cells
cell_00338,14130,1011,15.992754558848905,B cells
cell_00339,17292,1028,8.044286272609327,B cells
cell_00340,12355,975,9.186526590115038,B cells
cell_00341,18506,1050,8.108380289063142,B cells
cell_00342,17714,1081,9.943123009069154,B cells
cell_00343,15031,1014,8.218485789874874,B cells
cell_00344,8719,913,10.08604202716707,B cells
cell_00345,13626,998,5.393435489031659,B cells
cell_00346,15358,1025,7.675943335806089,B cells
cell_00347,14458,1004,45.187941901440006,B cells
cell_00348,11781,960,29.19168422178242,B cells
cell_00349,17912,1044,5.770186667827692,B cells
cell_00350,11476,982,29.377065759003045,B cells
cell_00351,12402,976,10.695912468671834,B cells
cell_00352,10940,961,8.85790856138104,B cells
cell_00353,20469,1089,43.134219324254616,B cells
cell_00354,13448,961,7.5928293947039025,B cells
cell_00355,17016,1060,13.62883351448336,B cells
cell_00356,21145,1056,11.371953007084123,B cells
cell_00357,17843,1022,7.01640301429671,B cells
cell_00358,18351,1053,6.1577609416098165,B cells
cell_00359,10400,962,12.40159542429125,B cells
cell_00360,9989,928,20.241494327120467,B cells
cell_00361,13649,1021,3.6416188457078937,B cells
cell_00362,11633,982,8.069698826126045,B cells
cell_00363,15487,1018,7.851976308134173,B cells
cell_00364,21132,1043,7.095315356517827,B cells
cell_00365,14111,996,8.197289218505155,B cells
cell_00366,17356,1038,8.728099968116801,B cells
cell_00367,11935,950,6.88254282506023,B cells
cell_00368,16312,1029,11.244241260814709,B cells
cell_00369,12016,979,4.772087673395779,B cells
cell_00370,17187,1055,4.713240603032724,B cells
cell_00371,20776,1087,4.901521525502519,B cells
cell_00372,16770,1031,9.8625875690667,B cells
cell_00373,14155,1002,8.869437059698187,B cells
cell_00374,10027,950,9.438078173418148,B cells
cell_00375,11333,964,7.808361900121004,B cells
cell_00376,17635,1069,7.711196203098525,B cells
cell_00377,14873,996,7.20671534028849,B cells
cell_00378,19259,1044,56.645732188312294,B cells
cell_00379,16638,1040,8.587210806752188,B cells
cell_00380,16534,1022,4.896078608080974,B cells
cell_00381,20227,1066,17.94912178396199,B cells
cell_00382,10043,916,22.969314525144146,B cells
cell_00383,15049,1029,7.8537407762388005,B cells
cell_00384,17578,1053,11.642116242655083,B cells
cell_00385,11404,945,20.116851992058766,B cells
cell_00386,9919,929,28.10407594326711,B cells
cell_00387,14910,1027,9.534693528812657,B cells
cell_00388,10078,938,11.087295665595725,B cells
cell_00389,17500,1065,8.944886348940296,B cells
cell_00390,10952,987,11.094838595358617,B cells
cell_00391,22447,1075,11.134382257048893,B cells
cell_00392,18166,1035,7.356117329952652,B cells
cell_00393,12168,985,5.820119385703089,B cells
cell_00394,13641,981,10.913058911316314,B cells
cell_00395,20531,1081,10.951086403878515,B cells
cell_00396,18996,1060,9.600335358934421,B cells
cell_00397,11677,1003,5.0489358589492035,B cells
cell_00398,9898,952,9.91593888298542,B cells
cell_00399,18446,1061,6.879394491783847,B cells
cell_00400,11521,991,11.265972746752164,B cells
cell_00401,19751,1078,14.443493148016579,B cells
cell_00402,8684,908,11.988131056420599,B cells
cell_00403,17881,1040,8.395968198966093,B cells
cell_00404,11724,971,36.45768839708246,B cells
cell_00405,16272,1034,5.885592022632355,B cells
cell_00406,20056,1076,7.715353076227287,B cells
cell_00407,10470,982,9.477330630043884,B cells
cell_00408,13920,1018,13.105418293638477,B cells
cell_00409,18648,1060,7.680509466917204,B cells
cell_00410,18209,1047,11.702452501805809,B cells
cell_00411,14163,1001,10.925169331704355,B cells
cell_00412,12701,1002,5.91602733284013,B cells
cell_00413,13315,989,9.24291632259112,B cells
cell_00414,19107,1053,10.645906669289532,B cells
cell_00415,11783,985,8.905358276214944,B cells
cell_00416,15429,1018,14.9705381304335,B cells
cell_00417,14081,1007,11.535775055979629,B cells
cell_00418,12215,977,9.78544706420017,B cells
cell_00419,20584,1083,9.623871461323406,B cells
cell_00420,10825,950,51.96614005491378,B cells
cell_00421,9736,939,24.873063392556656,B cells
cell_00422,17164,1053,8.148294692516618,B cells
cell_00423,15729,1022,9.378388294266232,B cells
cell_00424,18008,1069,9.3388781706425,B cells
cell_00425,16030,1040,7.284750092260868,B cells
cell_00426,17338,1065,10.201096541440355,B cells
cell_00427,16999,1036,3.9558794685461773,B cells
cell_00428,11479,976,49.45771129796683,B cells
cell_00429,19423,1050,4.669170783868286,B cells
cell_00430,12831,987,10.056804125311793,B cells
cell_00431,19140,1045,7.511432850599483,B cells
cell_00432,14808,1035,13.518848838577854,B cells
cell_00433,16888,1037,7.7178214504557765,B cells
cell_00434,17434,1077,11.192494671317894,B cells
cell_00435,16300,1020,11.528567220146863,B cells
cell_00436,10668,976,7.546039901711501,B cells
cell_00437,9772,941,6.863847164627154,B cells
cell_00438,11309,969,8.57391061580817,B cells
cell_00439,22355,1071,8.232650163733341,B cells
cell_00440,14116,1019,7.767067056070504,B cells
cell_00441,12552,987,10.308016057901856,B cells
cell_00442,15878,1044,6.7806016335917985,B cells
cell_00443,12780,989,7.65844641327775,B cells
cell_00444,20041,1076,8.165447342400112,B cells
cell_00445,15490,1044,12.656853690109383,B cells
cell_00446,19334,1079,7.751516358196339,B cells
cell_00447,13998,1004,10.722123610184973,B cells
cell_00448,22233,1073,15.02381745658042,B cells
cell_00449,18386,1047,11.480367095483938,B cells
cell_00450,13252,998,8.690143480675621,B cells
cell_00451,9811,940,9.228485908299541,B cells
cell_00452,12477,977,10.684170226676937,B cells
cell_00453,16247,1032,5.120798786800798,B cells
cell_00454,17334,1057,5.044649006228185,B cells
cell_00455,19513,1075,6.959334498215167,B cells
cell_00456,12013,974,7.508624626191794,B cells
cell_00457,12217,986,9.579642164216803,B cells
cell_00458,20482,1093,13.21255818869922,B cells
cell_00459,12954,1008,8.582162363986672,B cells
cell_00460,12296,1001,9.552172413982731,B cells
cell_00461,11976,973,6.952989554804942,B cells
cell_00462,20724,1080,7.952246558179921,B cells
cell_00463,11516,955,5.994252033768084,B cells
cell_00464,12964,1004,8.656162237545583,B cells
cell_00465,16058,998,6.44559347786762,B cells
cell_00466,14247,1023,7.001753971239874,B cells
cell_00467,12119,990,11.234516737739963,B cells
cell_00468,12457,996,10.274110227178786,B cells
cell_00469,16716,1074,9.269700999339,B cells
cell_00470,18602,1060,4.440434505349285,B cells
cell_00471,12105,952,4.81799109825628,B cells
cell_00472,17110,1048,47.28073878091726,B cells
cell_00473,11135,931,8.743264354350137,B cells
cell_00474,19854,1055,10.28574317062881,B cells
cell_00475,16617,1049,7.173535305846997,B cells
cell_00476,8952,932,5.78183101711231,B cells
cell_00477,19997,1065,10.405238491388694,B cells
cell_00478,10141,928,8.758728549287131,B cells
cell_00479,16191,1025,16.141517739358154,B cells
cell_00480,16523,1033,3.5961661646070264,B cells
cell_00481,18024,1065,5.220735887057498,B cells
cell_00482,19722,1070,13.957687577376287,B cells
cell_00483,16039,1022,6.115897664142269,B cells
cell_00484,12902,1025,6.75629022899561,B cells
cell_00485,15688,1003,15.140440610810629,B cells
cell_00486,16723,1032,7.075368876558508,B cells
cell_00487,13703,1008,5.956896055868792,B cells
cell_00488,18420,1065,5.472712019132892,B cells
cell_00489,11684,973,10.569314247312263,B cells
cell_00490,9524,929,8.056556427589115,B cells
cell_00491,12122,959,8.410563293294262,B cells
cell_00492,11103,985,7.858175372523524,B cells
cell_00493,16920,1057,7.8326317320356695,B cells
cell_00494,16020,1035,6.602380364667804,B cells
cell_00495,9167,894,28.878606789705934,B cells
cell_00496,9681,944,28.786021563005615,B cells
cell_00497,11691,987,8.760357927928334,B cells
cell_00498,13486,994,8.965531950993388,B cells
cell_00499,13581,1001,8.987461478460675,B cells
cell_00500,20340,1064,10.060475671315425,B cells
cell_00501,20192,1086,15.638496647227381,B cells
cell_00502,21038,1103,8.185185531236714,B cells
cell_00503,14807,994,6.032982346383266,B cells
cell_00504,19015,1068,13.359832646343934,B cells
cell_00505,12817,989,10.352420873366466,B cells
cell_00506,10805,952,40.70193058775893,B cells
cell_00507,13748,1018,11.135605595268622,B cells
cell_00508,17815,1034,4.401483021250597,B cells
cell_00509,10607,992,8.318910926464495,B cells
cell_00510,10926,952,9.366854622841206,B cells
cell_00511,17747,1094,8.810519826891468,B cells
cell_00512,10878,945,8.442900955042015,B cells
cell_00513,16796,1027,12.08948967096564,B cells
cell_00514,11957,988,4.7049999905331985,B cells
cell_00515,18504,1052,9.814287355595058,B cells
cell_00516,9931,911,9.561239165870719,B cells
cell_00517,17764,1043,10.091538446313333,B cells
cell_00518,17733,1047,10.521029900304736,B cells
cell_00519,11037,938,11.304441599332044,B cells
cell_00520,9852,925,9.159643585465153,B cells
cell_00521,13045,1000,4.595275085890843,B cells
cell_00522,15751,1021,5.690428193800678,B cells
cell_00523,11275,951,9.637977650601336,B cells
cell_00524,18945,1076,44.93176545722667,B cells
cell_00525,14189,1014,8.133895046963962,B cells
cell_00526,19928,1064,10.698837930547445,B cells
cell_00527,20017,1061,6.889124425351054,B cells
cell_00528,9558,938,19.14786574772765,B cells
cell_00529,10762,964,50.30481099580029,B cells
cell_00530,12542,1014,8.843959667137128,B cells
cell_00531,11309,959,11.66544127004174,B cells
cell_00532,17611,1043,6.678599328180865,B cells
cell_00533,11547,951,38.115179136109525,B cells
cell_00534,11134,947,39.06332970542264,B cells
cell_00535,10302,952,36.57766131645272,B cells
cell_00536,18161,1088,6.224451249081389,B cells
cell_00537,17003,1051,8.484130469970545,B cells
cell_00538,11486,964,24.749933227774136,B cells
cell_00539,9519,940,6.859008699896912,B cells
cell_00540,9716,947,8.873161164829739,B cells
cell_00541,17969,1045,6.541382568535273,B cells
cell_00542,15286,1017,7.253309277112452,B cells
cell_00543,13364,1019,8.311566227325695,B cells
cell_00544,11616,958,71.70814066902457,B cells
cell_00545,10739,961,25.60559135128428,B cells
cell_00546,21428,1081,17.88973723299088,B cells
cell_00547,17338,1053,5.483871852551603,B cells
cell_00548,17029,1050,12.660429380665594,B cells
cell_00549,9018,922,18.262275294617254,B cells
cell_00550,16303,1021,8.833867720690089,B cells
cell_00551,19533,1078,7.636419486542604,B cells
cell_00552,18397,1043,12.417139047401733,B cells
cell_00553,8980,916,9.350864420293398,B cells
cell_00554,19555,1079,13.737091067863094,B cells
cell_00555,17324,1068,9.946031100256574,B cells
cell_00556,10218,945,9.083243613831375,B cells
cell_00557,11895,947,26.83077349167242,B cells
cell_00558,18311,1070,13.46299890781708,B cells
cell_00559,13128,1005,7.078630309357614,B cells
cell_00560,11027,947,24.77665718621521,B cells
cell_00561,10081,934,39.70428132666511,B cells
cell_00562,17542,1056,12.986928514770767,B cells
cell_00563,14837,1022,10.401102431463295,B cells
cell_00564,11525,965,9.185380144491337,B cells
cell_00565,20965,1066,8.3932424981634,B cells
cell_00566,13463,1013,4.432973210534279,B cells
cell_00567,14132,1013,9.286200005135974,B cells
cell_00568,20340,1068,5.004067860036107,B cells
cell_00569,15891,1031,10.321248213475688,B cells
cell_00570,21665,1091,6.707551027353635,B cells
cell_00571,20945,1080,10.327571382116025,B cells
cell_00572,11326,942,9.128929385157342,B cells
cell_00573,8656,912,33.80651785813309,B cells
cell_00574,13060,1010,10.17397867346067,B cells
cell_00575,11649,973,16.156117157665708,B cells
cell_00576,18892,1071,12.541415209797135,B cells
cell_00577,18620,1080,7.599811011328776,B cells
cell_00578,13066,997,10.847470690203293,B cells
cell_00579,13043,971,11.528950474531765,B cells
cell_00580,18488,1069,6.242322178521534,B cells
cell_00581,20316,1059,8.513366858981062,B cells
cell_00582,16395,1001,5.89450178530906,B cells
cell_00583,19745,1096,10.78404386741028,B cells
cell_00584,11314,975,34.07539658910935,B cells
cell_00585,9386,947,27.690572507489442,B cells
cell_00586,21206,1083,16.75463337550219,B cells
cell_00587,13293,1017,11.24631699304508,B cells
cell_00588,14532,1019,11.599809471347362,B cells
cell_00589,12588,988,10.706745507706453,B cells
